X,Y,Z
-0.0549867526,-0.0038752309,9.9246597290
-0.0605075359,-0.0129168518,9.9565868378
-0.0505355224,-0.0082626855,9.9527759552
-0.0607345179,0.0164086521,9.9354028702
-0.0610646009,0.0092303744,9.9427909851
-0.0462592170,-0.0074650315,9.9130659103
-0.0570989847,0.0024512631,9.9250812531
-0.0545509756,0.0095876437,9.9259777069
-0.0723057389,0.0041191536,9.9576969147
-0.0549475551,0.0051392941,9.9286346436
-0.0589890629,0.0175900403,9.9615993500
-0.0731914714,0.0164423268,9.9572200775
-0.0529786125,-0.0002112109,9.9385061264
-0.0593639836,0.0231212601,9.9774379730
-0.0397933722,-0.0121744238,9.9416055679
-0.0632967502,0.0095874537,9.9493579865
-0.0577522591,-0.0234765746,9.9339962006
-0.0630990043,-0.0066325287,9.9535903931
-0.0488286018,0.0313059241,9.9583740234
-0.0702513158,0.0229695309,9.9572925568
-0.0655307323,0.0124071520,9.9445314407
-0.0582809970,0.0061429925,9.9517240524
-0.0650407225,0.0084125437,9.9397497177
-0.0556051806,0.0161498189,9.9433193207
-0.0536745489,0.0189012308,9.9272584915
-0.0543909371,0.0245538335,9.9277744293
-0.0581845045,-0.0137288533,9.9176445007
-0.0610236228,-0.0005304812,9.9018478394
-0.0485869646,-0.0012041805,9.9538125992
-0.0653446615,0.0203734878,9.9339675903
-0.0837608427,0.0136847273,9.9464187622
-0.0685837120,0.0073723914,9.9306774139
-0.0546993613,0.0121328030,9.9218149185
-0.0569575876,-0.0079283919,9.9225559235
-0.0499966554,0.0295059457,9.9144039154
-0.0522859767,0.0279738717,9.9305610657
-0.0647619814,0.0385529846,9.9068632126
-0.0428962708,-0.0048980010,9.9408044815
-0.0594207756,-0.0001097787,9.9312267303
-0.0648201406,-0.0003220860,9.9418029785
-0.0758891106,0.0162497144,9.9402351379
-0.0789057538,0.0079540620,9.9561967850
-0.0647493303,0.0013189977,9.9215431213
-0.0696943104,-0.0041121035,9.9122934341
-0.0606720373,-0.0154627571,9.9141969681
-0.0576434582,-0.0003209668,9.9599504471
-0.0548827425,-0.0109868860,9.9339809418
-0.0453242213,-0.0078191403,9.9486751556
-0.0459918119,0.0129044866,9.9577474594
-0.0620832741,0.0070856409,9.9343395233
-0.0570802987,-0.0031658460,9.9454193115
-0.0475302562,-0.0024822541,9.9451408386
-0.0381480902,0.0175907910,9.9430217743
-0.0509760305,0.0047567091,9.9381332397
-0.0605360493,-0.0045817811,9.9426317215
-0.0606840253,0.0027742852,9.9526042938
-0.0665160269,-0.0095554376,9.9260692596
-0.0638455003,0.0118521526,9.9318408966
-0.0504412763,0.0110622365,9.9487953186
-0.0408951193,0.0119631160,9.9880943298
-0.0498219877,0.0163528603,9.9581909180
-0.0596854538,0.0349384919,9.9443826675
-0.0620579347,0.0137219327,9.9495925903
-0.0350553989,0.0216934085,9.9566364288
-0.0554931238,0.0052441419,9.9491691589
-0.0546995178,0.0029977919,9.9362316132
-0.0739852339,-0.0046150777,9.9309120178
-0.0687709525,0.0059461202,9.9362964630
-0.0472415313,-0.0007278717,9.9397726059
-0.0525252074,0.0014391346,9.9729633331
-0.0663143173,0.0189305507,9.9673728943
-0.0541686416,0.0061362451,9.9597625732
-0.0452408865,0.0048561231,9.9417562485
-0.0392845273,-0.0232583918,9.9583930969
-0.0569590628,0.0071909651,9.9484767914
-0.0693825334,0.0160805788,9.9383926392
-0.0531284660,-0.0114421751,9.9280471802
-0.0525896586,-0.0097727114,9.9595947266
-0.0538426302,0.0016690462,9.9441900253
-0.0714409351,-0.0082065891,9.9481678009
-0.0460029319,-0.0075363321,9.9579362869
-0.0339949802,0.0049587646,9.9494819641
-0.0678391159,0.0256046839,9.9457607269
-0.0486185178,0.0312327109,9.9483947754
-0.0528413132,0.0189649668,9.9484739304
-0.0471314900,-0.0107990615,9.9472923279
-0.0425119735,0.0116258897,9.9619789124
-0.0721263736,0.0060322694,9.9579286575
-0.0331058726,-0.0064278124,9.9509334564
-0.0697597265,-0.0024678903,9.9362449646
-0.0358915217,0.0170746669,9.9284124374
-0.0352701917,0.0060949512,9.9435672760
-0.0779752582,-0.0129457517,9.9652671814
-0.0524101555,0.0098537691,9.9500274658
-0.0537494794,0.0111476751,9.9330215454
-0.0339292176,-0.0246334616,9.9416255951
-0.0493559763,0.0067590554,9.9303150177
-0.0529828593,-0.0095518706,9.9655752182
-0.0465121008,0.0246159937,9.9476728439
-0.0350207761,0.0296988636,9.9316062927
-0.0385374464,0.0083549041,9.9577665329
-0.0389856063,-0.0121973595,9.9294433594
-0.0617475063,0.0019420541,9.9310684204
-0.0613813289,0.0131570203,9.9295387268
-0.0492722839,-0.0077560311,9.9419965744
-0.0479417518,-0.0020662062,9.9622173309
-0.0522693694,0.0306935739,9.9503326416
